ai_provider,match_key,website_a_url,website_b_url,verdict,human_visible_changes,confidence,summary
"gemini","/","https://ouj-media.pages.dev/","https://oscarluxury.com/","changes_visible","true","1","The two websites are for completely different businesses with entirely different content, branding, layouts, and color schemes. One is a digital marketing agency, and the other is a luxury car dealership."
"gemini","/services","https://ouj-media.pages.dev/services","https://oscarluxury.com/services/","changes_visible","true","1","The two websites are for entirely different businesses, offering completely different services (digital marketing vs. automotive care) with distinct layouts, branding, and content."
"gemini","/pricing","https://ouj-media.pages.dev/pricing/","","only_in_website_a","","","No page on website B with the same path and query; screenshot saved for A only. Not a two-image AI comparison."
"gemini","/about","https://ouj-media.pages.dev/about/","","only_in_website_a","","","No page on website B with the same path and query; screenshot saved for A only. Not a two-image AI comparison."
"gemini","/contact","https://ouj-media.pages.dev/contact/","","only_in_website_a","","","No page on website B with the same path and query; screenshot saved for A only. Not a two-image AI comparison."
"gemini","/terms-service","https://ouj-media.pages.dev/terms-service/","","only_in_website_a","","","No page on website B with the same path and query; screenshot saved for A only. Not a two-image AI comparison."
"gemini","/terms-conditions","https://ouj-media.pages.dev/terms-conditions/","","only_in_website_a","","","No page on website B with the same path and query; screenshot saved for A only. Not a two-image AI comparison."
"gemini","/about-us","","https://oscarluxury.com/about-us/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/paint-protection-film","","https://oscarluxury.com/paint-protection-film/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/interior-detailing","","https://oscarluxury.com/interior-detailing/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ceramic-coating","","https://oscarluxury.com/ceramic-coating/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/vinyl-wrapping","","https://oscarluxury.com/vinyl-wrapping/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/exterior-detailing","","https://oscarluxury.com/exterior-detailing/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/custom-body-kit","","https://oscarluxury.com/custom-body-kit/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/inventory","","https://oscarluxury.com/inventory/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/contact-us","","https://oscarluxury.com/contact-us/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad/range-rover-evoque-r-dynamic-se","","https://oscarluxury.com/ad/range-rover-evoque-r-dynamic-se/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad/mercedes-benz-a-class-amg-a-45","","https://oscarluxury.com/ad/mercedes-benz-a-class-amg-a-45/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad/bentley-bentayga-azure-v8-2023-alpine-green","","https://oscarluxury.com/ad/bentley-bentayga-azure-v8-2023-alpine-green/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad/bmw-m4-competition-xdrive-m-kit","","https://oscarluxury.com/ad/bmw-m4-competition-xdrive-m-kit/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad/land-rover-defender-525-v8-edition","","https://oscarluxury.com/ad/land-rover-defender-525-v8-edition/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad/mercedes-benz-gls-450-2","","https://oscarluxury.com/ad/mercedes-benz-gls-450-2/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad/mercedes-benz-cla-45-s-amg-4matic","","https://oscarluxury.com/ad/mercedes-benz-cla-45-s-amg-4matic/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad/lexus-lx600-f-sport","","https://oscarluxury.com/ad/lexus-lx600-f-sport/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad_category/bmw","","https://oscarluxury.com/ad_category/bmw/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad_category/rolls-royce","","https://oscarluxury.com/ad_category/rolls-royce/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad_category/bentley","","https://oscarluxury.com/ad_category/bentley/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad_category/mercedes","","https://oscarluxury.com/ad_category/mercedes/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad_category/ferrari","","https://oscarluxury.com/ad_category/ferrari/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad_category/porsche","","https://oscarluxury.com/ad_category/porsche/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad_category/ford","","https://oscarluxury.com/ad_category/ford/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad_category/nissan","","https://oscarluxury.com/ad_category/nissan/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad_category/land-rover","","https://oscarluxury.com/ad_category/land-rover/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad_category/lamborghini","","https://oscarluxury.com/ad_category/lamborghini/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad_category/lexus","","https://oscarluxury.com/ad_category/lexus/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/ad_category/range-rover","","https://oscarluxury.com/ad_category/range-rover/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/sell-car","","https://oscarluxury.com/sell-car/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/trade-in","","https://oscarluxury.com/trade-in/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/privacy-policy","","https://oscarluxury.com/privacy-policy/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/terms-and-conditions","","https://oscarluxury.com/terms-and-conditions/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/blogs","","https://oscarluxury.com/blogs/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/showroom","","https://oscarluxury.com/showroom/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
"gemini","/faqs","","https://oscarluxury.com/faqs/","only_in_website_b","","","No page on website A with the same path and query; screenshot saved for B only. Not a two-image AI comparison."
